TARGETID,GENENAME,,,Disease Entry, [ICD-11]
T15739,TP53,INDICATI,Phase 3,Transplant rejection,[ICD-11: NE84]
,#N/A,,,,
T15776,PDK1,TARGETID,T15776,,
T15776,PDK1,TARGNAME,Pyruvate dehydrogenase kinase 1 (PDHK1),,
T15776,PDK1,INDICATI,Phase 1,Idiopathic interstitial pneumonitis,[ICD-11: CB03]
T15776,PDK1,INDICATI,Phase 3,Inborn energy metabolism error,[ICD-11: 5C53]
T15776,PDK1,INDICATI,Phase 4,Insulin-resistance syndrome,[ICD-11: 5A44]
T15776,PDK1,INDICATI,Patented,Metastatic tumour,[ICD-11: 2D50-2E2Z]
T15776,PDK1,INDICATI,Patented,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T15783,KLRC1,TARGETID,T15783,,
T15783,KLRC1,TARGNAME,NKG2-A/B-activating NK receptor (NKG2A),,
T15783,KLRC1,INDICATI,Phase 1/2,Head and neck cancer,[ICD-11: 2D42]
T15783,KLRC1,INDICATI,Phase 1/2,Mature B-cell leukaemia,[ICD-11: 2A82]
T15783,KLRC1,INDICATI,Phase 2,Rheumatoid arthritis,[ICD-11: FA20]
T15783,KLRC1,INDICATI,Phase 1/2,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T15784,#N/A,TARGETID,T15784,,
T15784,#N/A,TARGNAME,Lipid peroxidation (LPO),,
T15784,#N/A,INDICATI,Phase 2,Alzheimer disease,[ICD-11: 8A20]
T15784,#N/A,INDICATI,Discontinued in Phase 2,Dissociative neurological symptom disorder,[ICD-11: 6B60]
T15784,#N/A,INDICATI,Investigative,Immune system disease,[ICD-11: 4A01-4B41]
T15784,#N/A,INDICATI,Phase 2,Ischemia,[ICD-11: 8B10-8B11]
,#N/A,,,,
T15795,KCNK3,TARGETID,T15795,,
T15795,KCNK3,TARGNAME,TWIK-related acid-sensitive potassium channel 1 (TASK1),,
T15795,KCNK3,INDICATI,Phase 2,Obstructive sleep apnoea,[ICD-11: 7A41]
,#N/A,,,,
T15797,SMYD2,TARGETID,T15797,,
T15797,SMYD2,TARGNAME,SET and MYND domain-containing protein 2 (SMYD2),,
T15797,SMYD2,INDICATI,Preclinical,Lung cancer,[ICD-11: 2C25]
T15797,SMYD2,INDICATI,Preclinical,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T15803,F11,TARGETID,T15803,,
T15803,F11,TARGNAME,Factor XI messenger RNA (F11 mRNA),,
T15803,F11,INDICATI,Clinical trial,Alzheimer disease,[ICD-11: 8A20]
T15803,F11,INDICATI,Phase 2,Cerebral ischaemic stroke,[ICD-11: 8B11]
T15803,F11,INDICATI,Phase 2,Coagulation defect,[ICD-11: 3B10]
T15803,F11,INDICATI,Phase 2,Thrombosis,[ICD-11: DB61-GB90]
,#N/A,,,,
T15855,DPP8,TARGETID,T15855,,
T15855,DPP8,TARGNAME,Dipeptidyl peptidase 8 (DPP-8),,
T15855,DPP8,INDICATI,Phase 3,Neutropenia,[ICD-11: 4B00]
T15855,DPP8,INDICATI,Phase 1/2,Prostate cancer,[ICD-11: 2C82]
T15855,DPP8,INDICATI,Phase 1,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T15867,#N/A,TARGETID,T15867,,
T15867,#N/A,TARGNAME,Gastric carcinoma-associated antigen MG7 (MG7),,
T15867,#N/A,INDICATI,Phase 1/2,Acute myeloid leukaemia,[ICD-11: 2A60]
,#N/A,,,,
T15882,PRTN3,TARGETID,T15882,,
T15882,PRTN3,TARGNAME,Leukocyte proteinase-3 (PRTN3),,
T15882,PRTN3,INDICATI,Phase 2,Malignant haematopoietic neoplasm,[ICD-11: 2B33]
T15882,PRTN3,INDICATI,Phase 2,Myocardial infarction,[ICD-11: BA41-BA43]
,#N/A,,,,
T15894,CUL4A/CUL4B-DDB1-CRBN,TARGETID,T15894,,
T15894,CUL4A/CUL4B-DDB1-CRBN,TARGNAME,Cerebron E3 ubiquitin ligase complex (CRL4-CRBN E3 ubiquitin ligase),,
T15894,CUL4A/CUL4B-DDB1-CRBN,INDICATI,Phase 1,Lupus erythematosus,[ICD-11: 4A40]
T15894,CUL4A/CUL4B-DDB1-CRBN,INDICATI,Phase 1,Prostate cancer,[ICD-11: 2C82]
,#N/A,,,,
T16016,CCR1,TARGETID,T16016,,
T16016,CCR1,TARGNAME,C-C chemokine receptor type 1 (CCR1),,
T16016,CCR1,INDICATI,Discontinued in Phase 2,Chronic obstructive pulmonary disease,[ICD-11: CA22]
T16016,CCR1,INDICATI,Phase 2,Diabetes mellitus,[ICD-11: 5A10]
T16016,CCR1,INDICATI,Phase 2,Rheumatoid arthritis,[ICD-11: FA20]
,#N/A,,,,
T16047,Onchoc GluCl,TARGETID,T16047,,
T16047,Onchoc GluCl,TARGNAME,Onchocerca Glutamate-gated chloride channel (Onchoc GluCl),,
T16047,Onchoc GluCl,INDICATI,Approved,Onchocerciasis,[ICD-11: 1F6A]
T16047,Onchoc GluCl,INDICATI,Approved,Strongyloidiasis,[ICD-11: 1F6B]
,#N/A,,,,
T16087,TMPRSS6,TARGETID,T16087,,
T16087,TMPRSS6,TARGNAME,TMPRSS6 messenger RNA (TMPRSS6 mRNA),,
T16087,TMPRSS6,INDICATI,Phase 2,Myeloproliferative neoplasm,[ICD-11: 2A20]
T16087,TMPRSS6,INDICATI,Phase 2,Thalassaemia,[ICD-11: 3A50]
,#N/A,,,,
T16117,NOS1,TARGETID,T16117,,
T16117,NOS1,TARGNAME,Nitric-oxide synthase brain (NOS1),,
T16117,NOS1,INDICATI,Phase 2,Headache,[ICD-11: 8A80-8A84]
T16117,NOS1,INDICATI,Phase 2,Migraine,[ICD-11: 8A80]
,#N/A,,,,
T16128,GAST,TARGETID,T16128,,
T16128,GAST,TARGNAME,Gastrin (GAST),,
T16128,GAST,INDICATI,Phase 3,Stomach cancer,[ICD-11: 2B72]
,#N/A,,,,
T16144,ICOSLG,TARGETID,T16144,,
T16144,ICOSLG,TARGNAME,B7-related protein 1 (B7RP1),,
T16144,ICOSLG,INDICATI,Phase 2,Lupus erythematosus,[ICD-11: 4A40]
T16144,ICOSLG,INDICATI,Phase 2,Sjogren syndrome,[ICD-11: 4A43]
,#N/A,,,,
T16156,MPL,TARGETID,T16156,,
T16156,MPL,TARGNAME,Thrombopoietin receptor (MPL),,
T16156,MPL,INDICATI,Investigative,Acute myeloid leukaemia,[ICD-11: 2A60]
T16156,MPL,INDICATI,Phase 1,Ischaemic/haemorrhagic stroke,[ICD-11: 8B20]
T16156,MPL,INDICATI,Phase 3,Liver disease,[ICD-11: DB90-DB9Z]
T16156,MPL,INDICATI,Phase 2,Multiple myeloma,[ICD-11: 2A83]
T16156,MPL,INDICATI,Phase 2,Myelodysplastic syndrome,[ICD-11: 2A37]
T16156,MPL,INDICATI,Phase 1,Myocardial infarction,[ICD-11: BA41-BA43]
T16156,MPL,INDICATI,Approved,Thrombocytopenia,[ICD-11: 3B64]
T16156,MPL,INDICATI,Terminated,Transplanted organ/tissue,[ICD-11: QB63]
,#N/A,,,,
T16263,CCL5,TARGETID,T16263,,
T16263,CCL5,TARGNAME,T-cell-specific protein RANTES (CCL5),,
T16263,CCL5,INDICATI,Phase 1,Diabetes mellitus,[ICD-11: 5A10]
,#N/A,,,,
T16308,PIN1,TARGETID,T16308,,
T16308,PIN1,TARGNAME,Rotamase Pin1 (PIN1),,
T16308,PIN1,INDICATI,Phase 3,Lung cancer,[ICD-11: 2C25]
T16308,PIN1,INDICATI,Investigative,Nasopharyngeal cancer,[ICD-11: 2B6B]
,#N/A,,,,
T16340,IL1A,TARGETID,T16340,,
T16340,IL1A,TARGNAME,Interleukin-1 alpha (IL1A),,
T16340,IL1A,INDICATI,Phase 2,Acne vulgaris,[ICD-11: ED80]
T16340,IL1A,INDICATI,Terminated,Arterial occlusive disease,[ICD-11: BD40]
T16340,IL1A,INDICATI,Phase 2,Atopic eczema,[ICD-11: EA80]
T16340,IL1A,INDICATI,Phase 2,Chronic arterial occlusive disease,[ICD-11: BD4Z]
T16340,IL1A,INDICATI,Phase 3,Colorectal cancer,[ICD-11: 2B91]
T16340,IL1A,INDICATI,Phase 2,Hidradenitis suppurativa,[ICD-11: ED92]
T16340,IL1A,INDICATI,Phase 3,Influenza,[ICD-11: 1E30-1E32]
T16340,IL1A,INDICATI,Phase 2,Lung cancer,[ICD-11: 2C25]
T16340,IL1A,INDICATI,Phase 2,Osteoarthritis,[ICD-11: FA00-FA05]
T16340,IL1A,INDICATI,Phase 2,Psoriasis,[ICD-11: EA90]
T16340,IL1A,INDICATI,Phase 2,Pyoderma gangrenosum,[ICD-11: EB21]
T16340,IL1A,INDICATI,Phase 2,Rheumatoid arthritis,[ICD-11: FA20]
T16340,IL1A,INDICATI,Phase 2,Type 2 diabetes mellitus,[ICD-11: 5A11]
,#N/A,,,,
T16347,PTPN1,TARGETID,T16347,,
T16347,PTPN1,TARGNAME,Protein-tyrosine phosphatase 1B (PTP1B),,
T16347,PTPN1,INDICATI,Phase 1/2,Acute diabete complication,[ICD-11: 5A2Y]
T16347,PTPN1,INDICATI,Phase 1,Breast cancer,[ICD-11: 2C60-2C6Y]
T16347,PTPN1,INDICATI,Phase 1,Obesity,[ICD-11: 5B80-5B81]
T16347,PTPN1,INDICATI,Phase 2,Type 2 diabetes mellitus,[ICD-11: 5A11]
,#N/A,,,,
T16353,GJA8,TARGETID,T16353,,
T16353,GJA8,TARGNAME,Gap junction alpha-8 protein (Cx50),,
T16353,GJA8,INDICATI,Investigative,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T16422,#N/A,TARGETID,T16422,,
T16422,#N/A,TARGNAME,Multidrug resistance protein (MDR),,
T16422,#N/A,INDICATI,Discontinued in Phase 3,Acute myeloid leukaemia,[ICD-11: 2A60]
T16422,#N/A,INDICATI,Phase 2,Atopic eczema,[ICD-11: EA80]
T16422,#N/A,INDICATI,Approved,Nausea/vomiting,[ICD-11: MD90]
T16422,#N/A,INDICATI,Phase 3,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
T16422,#N/A,INDICATI,Preclinical,Transplant rejection,[ICD-11: NE84]
,#N/A,,,,
T16486,TNF,TARGETID,T16486,,
T16486,TNF,TARGNAME,TNFA messenger RNA (TNF mRNA),,
T16486,TNF,INDICATI,Discontinued in Phase 2,Crohn disease,[ICD-11: DD70]
T16486,TNF,INDICATI,Discontinued in Phase 2,Rheumatoid arthritis,[ICD-11: FA20]
T16486,TNF,INDICATI,Terminated,Schizophrenia,[ICD-11: 6A20]
,#N/A,,,,
T16514,FASN,TARGETID,T16514,,
T16514,FASN,TARGNAME,Fatty acid synthase (FASN),,
T16514,FASN,INDICATI,Phase 2,Brain cancer,[ICD-11: 2A00]
T16514,FASN,INDICATI,Phase 2,Colon cancer,[ICD-11: 2B90]
T16514,FASN,INDICATI,Approved,concerning food/fluid intake symptom,[ICD-11: MG43]
T16514,FASN,INDICATI,Preclinical,Fungal infection,[ICD-11: 1F29-1F2F]
T16514,FASN,INDICATI,Investigative,Gram-positive bacterial infection,[ICD-11: 1B74-1F40]
T16514,FASN,INDICATI,Phase 3,Hepatic fibrosis/cirrhosis,[ICD-11: DB93]
T16514,FASN,INDICATI,Phase 2,Non-alcoholic fatty liver disease,[ICD-11: DB92]
T16514,FASN,INDICATI,Investigative,Obesity,[ICD-11: 5B80-5B81]
T16514,FASN,INDICATI,Phase 1,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T16538,EGFR,TARGETID,T16538,,
T16538,EGFR,TARGNAME,EGFR T790M mutant (EGFR T790M),,
T16538,EGFR,INDICATI,Approved,Lung cancer,[ICD-11: 2C25]
T16538,EGFR,INDICATI,Phase 3,Melanoma,[ICD-11: 2C30]
,#N/A,,,,
T16601,CEACAM5,TARGETID,T16601,,
T16601,CEACAM5,TARGNAME,Carcinoembryonic antigen CEA (CD66e),,
T16601,CEACAM5,INDICATI,Phase 1,Acute myeloid leukaemia,[ICD-11: 2A60]
T16601,CEACAM5,INDICATI,Phase 1,Ascites,[ICD-11: ME04]
T16601,CEACAM5,INDICATI,Phase 1,Brain cancer,[ICD-11: 2A00]
T16601,CEACAM5,INDICATI,Phase 2,Breast cancer,[ICD-11: 2C60-2C6Y]
T16601,CEACAM5,INDICATI,Phase 2,Colorectal cancer,[ICD-11: 2B91]
T16601,CEACAM5,INDICATI,Phase 3,Lung cancer,[ICD-11: 2C25]
T16601,CEACAM5,INDICATI,Phase 1,Metastatic peritoneum neoplasm,[ICD-11: 2D91]
T16601,CEACAM5,INDICATI,Phase 3,Non-small-cell lung cancer,[ICD-11: 2C25]
T16601,CEACAM5,INDICATI,Phase 2,Pancreatic cancer,[ICD-11: 2C10]
T16601,CEACAM5,INDICATI,Phase 2,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
T16601,CEACAM5,INDICATI,Phase 2,Stomach cancer,ICD-11: 2B72
T16601,CEACAM5,INDICATI,Phase 1,Stomach cancer,[ICD-11: 2B72]
T16601,CEACAM5,INDICATI,Phase 2,Thyroid cancer,[ICD-11: 2D10]
,#N/A,,,,
T16605,MV NP mRNA,TARGETID,T16605,,
T16605,MV NP mRNA,TARGNAME,Marburg virus NP messenger RNA (MV NP mRNA),,
T16605,MV NP mRNA,INDICATI,Phase 1,Filovirus disease,[ICD-11: 1D60]
,#N/A,,,,
T16633,SSTR1,TARGETID,T16633,,
T16633,SSTR1,TARGNAME,Somatostatin receptor type 1 (SSTR1),,
T16633,SSTR1,INDICATI,Terminated,Alzheimer disease,[ICD-11: 8A20]
T16633,SSTR1,INDICATI,Approved,Cushing syndrome,[ICD-11: 5A70]
T16633,SSTR1,INDICATI,Approved,Stomach cancer,[ICD-11: 2B72]
,#N/A,,,,
T16688,DGAT1,TARGETID,T16688,,
T16688,DGAT1,TARGNAME,Diacylglycerol acyltransferase 1 (DGAT1),,
T16688,DGAT1,INDICATI,Phase 1,Acute diabete complication,[ICD-11: 5A2Y]
T16688,DGAT1,INDICATI,Phase 3,Hepatitis virus infection,[ICD-11: 1E50-1E51]
T16688,DGAT1,INDICATI,Approved,Hyper-lipoproteinaemia,[ICD-11: 5C80]
T16688,DGAT1,INDICATI,Phase 1,Obesity,[ICD-11: 5B80-5B81]
T16688,DGAT1,INDICATI,Terminated,Type 2 diabetes mellitus,[ICD-11: 5A11]
,#N/A,,,,
T16691,HTR6,TARGETID,T16691,,
T16691,HTR6,TARGNAME,5-HT 6 receptor (HTR6),,
T16691,HTR6,INDICATI,Phase 3,Alzheimer disease,[ICD-11: 8A20]
T16691,HTR6,INDICATI,Phase 2,Anxiety disorder,[ICD-11: 6B00-6B0Z]
T16691,HTR6,INDICATI,Patented,Attention deficit hyperactivity disorder,[ICD-11: 6A05]
T16691,HTR6,INDICATI,Phase 2,Dissociative neurological symptom disorder,[ICD-11: 6B60]
T16691,HTR6,INDICATI,Investigative,Mental/behavioural/neurodevelopmental disorder,[ICD-11: 6E20-6E8Z]
T16691,HTR6,INDICATI,Phase 2,Mild neurocognitive disorder,[ICD-11: 6D71]
T16691,HTR6,INDICATI,Investigative,Nausea/vomiting,[ICD-11: MD90]
T16691,HTR6,INDICATI,Phase 1,Neurodegenerative disorder,[ICD-11: 8A20-8A23]
T16691,HTR6,INDICATI,Phase 1,Obesity,[ICD-11: 5B80-5B81]
T16691,HTR6,INDICATI,Phase 2,Parkinsonism,[ICD-11: 8A00]
T16691,HTR6,INDICATI,Phase 3,Schizophrenia,[ICD-11: 6A20]
,#N/A,,,,
T16731,ATP6V1A,TARGETID,T16731,,
T16731,ATP6V1A,TARGNAME,Vacuolar-type proton ATPase catalytic A (v-ATPase-A),,
T16731,ATP6V1A,INDICATI,Preclinical,Fungal infection,[ICD-11: 1F29-1F2F]
,#N/A,,,,
T16738,DLK1,TARGETID,T16738,,
T16738,DLK1,TARGNAME,Protein delta homolog 1 (DLK1),,
T16738,DLK1,INDICATI,Phase 1,Motor neuron disease,[ICD-11: 8B60]
,#N/A,,,,
T16739,KDM1A,TARGETID,T16739,,
T16739,KDM1A,TARGNAME,Lysine-specific histone demethylase 1 (LSD),,
T16739,KDM1A,INDICATI,Phase 2,Acute myeloid leukaemia,[ICD-11: 2A60]
T16739,KDM1A,INDICATI,Phase 2,Alzheimer disease,[ICD-11: 8A20]
T16739,KDM1A,INDICATI,Phase 1,Ewing sarcoma,[ICD-11: 2B52]
T16739,KDM1A,INDICATI,Phase 1/2,Lung cancer,[ICD-11: 2C25]
T16739,KDM1A,INDICATI,Phase 2,Lymphoma,[ICD-11: 2A80-2A86]
T16739,KDM1A,INDICATI,Phase 2,Malignant haematopoietic neoplasm,[ICD-11: 2B33]
T16739,KDM1A,INDICATI,Phase 2,Myelodysplastic syndrome,[ICD-11: 2A37]
T16739,KDM1A,INDICATI,Phase 1/2,Myeloproliferative neoplasm,[ICD-11: 2A20]
T16739,KDM1A,INDICATI,Phase 1,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T16761,PC DHPS,TARGETID,T16761,,
T16761,PC DHPS,TARGNAME,Pneumocystis carinii Dihydropteroate synthase (PC DHPS),,
T16761,PC DHPS,INDICATI,Approved,Pneumonia,[ICD-11: CA40]
,#N/A,,,,
T16769,XIAP,TARGETID,T16769,,
T16769,XIAP,TARGNAME,X-linked inhibitor of apoptosis protein (XIAP),,
T16769,XIAP,INDICATI,Phase 1,Acute myeloid leukaemia,[ICD-11: 2A60]
T16769,XIAP,INDICATI,Phase 2,Lymphoma,[ICD-11: 2A80-2A86]
T16769,XIAP,INDICATI,Phase 1,Malignant haematopoietic neoplasm,[ICD-11: 2B33]
T16769,XIAP,INDICATI,Phase 3,Metastatic lymph node neoplasm,[ICD-11: 2D60]
T16769,XIAP,INDICATI,Investigative,Nasopharyngeal cancer,[ICD-11: 2B6B]
T16769,XIAP,INDICATI,Phase 1,Obesity,[ICD-11: 5B80-5B81]
T16769,XIAP,INDICATI,Phase 1/2,Ovarian cancer,[ICD-11: 2C73]
T16769,XIAP,INDICATI,Phase 2,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T16784,#N/A,TARGETID,T16784,,
T16784,#N/A,TARGNAME,Microtubule polymerization (MicroTu poly),,
T16784,#N/A,INDICATI,Phase 1/2,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T16792,DIO1,TARGETID,T16792,,
T16792,DIO1,TARGNAME,Iodothyronine deiodinase type I (DIO1),,
T16792,DIO1,INDICATI,Approved,Thyrotoxicosis,[ICD-11: 5A02]
,#N/A,,,,
T16802,#N/A,TARGETID,T16802,,
T16802,#N/A,TARGNAME,Human immunodeficiency virus Attachment (HIV att),,
T16802,#N/A,INDICATI,Phase 2,Human immunodeficiency virus disease,[ICD-11: 1C60-1C62]
,#N/A,,,,
T16808,PRMT1,TARGETID,T16808,,
T16808,PRMT1,TARGNAME,Protein arginine methyltransferase 1 (PRMT1),,
T16808,PRMT1,INDICATI,Phase 1,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T16868,CDH2,TARGETID,T16868,,
T16868,CDH2,TARGNAME,Neural cadherin (CDH2),,
T16868,CDH2,INDICATI,Phase 2,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T16888,CCL11,TARGETID,T16888,,
T16888,CCL11,TARGNAME,Small-inducible cytokine A11 (CCL11),,
T16888,CCL11,INDICATI,Phase 2,Allergic/hypersensitivity disorder,[ICD-11: 4A80-4A8Z]
T16888,CCL11,INDICATI,Phase 2,Pemphigoid,[ICD-11: EB41]
T16888,CCL11,INDICATI,Phase 2,Psoriasis,[ICD-11: EA90]
T16888,CCL11,INDICATI,Phase 2,Ulcerative colitis,[ICD-11: DD71]
,#N/A,,,,
T16987,CA12,TARGETID,T16987,,
T16987,CA12,TARGNAME,Carbonic anhydrase XII (CA-XII),,
T16987,CA12,INDICATI,Approved,Bacterial infection,[ICD-11: 1A00-1C4Z]
T16987,CA12,INDICATI,Phase 2,Breast cancer,[ICD-11: 2C60-2C6Y]
T16987,CA12,INDICATI,Approved,Seborrhoeic dermatitis,[ICD-11: EA81]
T16987,CA12,INDICATI,Phase 3,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T17003,#N/A,TARGETID,T17003,,
T17003,#N/A,TARGNAME,DNA-directed RNA polymerase (RNAP),,
T17003,#N/A,INDICATI,Phase 3,Crohn disease,[ICD-11: DD70]
T17003,#N/A,INDICATI,Approved,HIV-infected patients with tuberculosis,[ICD-11: 1B10-1B14]
T17003,#N/A,INDICATI,Approved,Mycobacterium infection,[ICD-11: 1B10-1B21]
T17003,#N/A,INDICATI,Investigative,Retinopathy,[ICD-11: 9B71]
,#N/A,,,,
T17048,TOP2A,TARGETID,T17048,,
T17048,TOP2A,TARGNAME,DNA topoisomerase II alpha (TOP2A),,
T17048,TOP2A,INDICATI,Phase 1/2,Acute myeloid leukaemia,[ICD-11: 2A60]
T17048,TOP2A,INDICATI,Phase 2,Kaposi sarcoma,[ICD-11: 2B57]
T17048,TOP2A,INDICATI,Investigative,Mature T-cell lymphoma,[ICD-11: 2A90]
T17048,TOP2A,INDICATI,Phase 2,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T17067,USP5,TARGETID,T17067,,
T17067,USP5,TARGNAME,Isopeptidase T (USP5),,
T17067,USP5,INDICATI,Preclinical,Postoperative inflammation,[ICD-11: 1A00-CA43]
T17067,USP5,INDICATI,Preclinical,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T17140,P2RX3,TARGETID,T17140,,
T17140,P2RX3,TARGNAME,P2X purinoceptor 3 (P2RX3),,
T17140,P2RX3,INDICATI,Phase 3,Cough,[ICD-11: MD12]
T17140,P2RX3,INDICATI,Phase 1,Endometriosis,[ICD-11: GA10]
T17140,P2RX3,INDICATI,Phase 2,Functional bladder disorder,[ICD-11: GC50]
T17140,P2RX3,INDICATI,Phase 1,Hypertension,[ICD-11: BA00-BA04]
T17140,P2RX3,INDICATI,Investigative,Pain,[ICD-11: MG30-MG3Z]
,#N/A,,,,
T17163,LEPR,TARGETID,T17163,,
T17163,LEPR,TARGNAME,Leptin receptor (LEPR),,
T17163,LEPR,INDICATI,Approved,Acute diabete complication,[ICD-11: 5A2Y]
T17163,LEPR,INDICATI,Investigative,Alzheimer disease,[ICD-11: 8A20]
T17163,LEPR,INDICATI,Investigative,Cachexia,[ICD-11: MG20]
T17163,LEPR,INDICATI,Investigative,Obesity,[ICD-11: 5B80-5B81]
T17163,LEPR,INDICATI,Investigative,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T17234,CMV UL97,TARGETID,T17234,,
T17234,CMV UL97,TARGNAME,Cytomegalovirus Ganciclovir kinase (CMV UL97),,
T17234,CMV UL97,INDICATI,Approved,Cytomegaloviral disease,[ICD-11: 1D82]
,#N/A,,,,
T17248,MeV F,TARGETID,T17248,,
T17248,MeV F,TARGNAME,Measles virus Fusion glycoprotein (MeV F),,
T17248,MeV F,INDICATI,Phase 1,Acute diabete complication,[ICD-11: 5A2Y]
T17248,MeV F,INDICATI,Phase 2,Metastatic tumour,[ICD-11: 2D50-2E2Z]
T17248,MeV F,INDICATI,Phase 2,Multiple sclerosis,[ICD-11: 8A40]
T17248,MeV F,INDICATI,Phase 2,Pregnancy/childbirth/puerperium maternal infection,[ICD-11: JB63]
T17248,MeV F,INDICATI,Phase 1,Type 2 diabetes mellitus,[ICD-11: 5A11]
T17248,MeV F,INDICATI,Terminated,Viral encephalitis,[ICD-11: 1C80]
,#N/A,,,,
T17345,DHFR,TARGETID,T17345,,
T17345,DHFR,TARGNAME,Dihydrofolate reductase (DHFR),,
T17345,DHFR,INDICATI,Phase 3,Bacterial infection,[ICD-11: 1A00-1C4Z]
T17345,DHFR,INDICATI,Phase 2,Bladder cancer,[ICD-11: 2C94]
T17345,DHFR,INDICATI,Approved,Indeterminate colitis,[ICD-11: DD72]
T17345,DHFR,INDICATI,Phase 2,Pneumonia,[ICD-11: CA40]
T17345,DHFR,INDICATI,Phase 2,Rheumatoid arthritis,[ICD-11: FA20]
T17345,DHFR,INDICATI,Approved,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
T17345,DHFR,INDICATI,Phase 1,Toxoplasmosis,[ICD-11: 1F57]
T17345,DHFR,INDICATI,Approved,Tuberculosis,[ICD-11: 1B10-1B12]
T17345,DHFR,INDICATI,Approved,Urinary tract infection,[ICD-11: GC08]
,#N/A,,,,
T17367,SQSTM1,TARGETID,T17367,,
T17367,SQSTM1,TARGNAME,Sequestosome-1 p62 (SQSTM1),,
T17367,SQSTM1,INDICATI,Preclinical,Nasopharyngitis,[ICD-11: CA00]
,#N/A,,,,
T17427,GP1BA,TARGETID,T17427,,
T17427,GP1BA,TARGNAME,Platelet glycoprotein Ib alpha (CD42b),,
T17427,GP1BA,INDICATI,Phase 1/2,Thrombosis,[ICD-11: DB61-GB90]
,#N/A,,,,
T17448,HNMT,TARGETID,T17448,,
T17448,HNMT,TARGNAME,Histamine N-methyltransferase (HNMT),,
T17448,HNMT,INDICATI,Approved,Episodic vestibular syndrome,[ICD-11: AB31]
T17448,HNMT,INDICATI,Approved,Malaria,[ICD-11: 1F40-1F45]
T17448,HNMT,INDICATI,Phase 2,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T17485,MEN1-KMT2A,TARGETID,T17485,,
T17485,MEN1-KMT2A,TARGNAME,Menin-MLL1 interaction (MEN1-KMT2A PPI),,
T17485,MEN1-KMT2A,INDICATI,Phase 1/2,Acute myeloid leukaemia,[ICD-11: 2A60]
T17485,MEN1-KMT2A,INDICATI,Phase 1/2,Malignant haematopoietic neoplasm,[ICD-11: 2B33]
,#N/A,,,,
T17502,RPE65,TARGETID,T17502,,
T17502,RPE65,TARGNAME,Retinal pigment epithelium protein (RPE65),,
T17502,RPE65,INDICATI,Phase 3,Herpes simplex infection,[ICD-11: 1F00]
T17502,RPE65,INDICATI,Phase 1/2,Inherited retinal dystrophy,[ICD-11: 9B70]
T17502,RPE65,INDICATI,Phase 2/3,Macular degeneration,[ICD-11: 9B75]
T17502,RPE65,INDICATI,Phase 2,Retinopathy,[ICD-11: 9B71]
T17502,RPE65,INDICATI,Phase 1/2,Vision impairment,[ICD-11: 9D90]
,#N/A,,,,
T17514,INHBA; INHBB; INHBC; INHBE,TARGETID,T17514,,
T17514,INHBA; INHBB; INHBC; INHBE,TARGNAME,Activin (ACT),,
T17514,INHBA; INHBB; INHBC; INHBE,INDICATI,Phase 1,Ovarian cancer,[ICD-11: 2C73]
,#N/A,,,,
T17569,KCNA5,TARGETID,T17569,,
T17569,KCNA5,TARGNAME,Voltage-gated potassium channel Kv1.5 (KCNA5),,
T17569,KCNA5,INDICATI,Approved,Angina pectoris,[ICD-11: BA40]
T17569,KCNA5,INDICATI,Phase 1,Cardiac arrhythmia,[ICD-11: BC9Z]
T17569,KCNA5,INDICATI,Preclinical,Obesity,[ICD-11: 5B80-5B81]
T17569,KCNA5,INDICATI,Phase 1,Pain,[ICD-11: MG30-MG3Z]
T17569,KCNA5,INDICATI,Phase 2,Supraventricular tachyarrhythmia,[ICD-11: BC81]
,#N/A,,,,
T17629,TACSTD2,TARGETID,T17629,,
T17629,TACSTD2,TARGNAME,Tumor associated calcium signal transducer 2 (TACSTD2),,
T17629,TACSTD2,INDICATI,Approved,Breast cancer,[ICD-11: 2C60-2C6Y]
T17629,TACSTD2,INDICATI,Phase 3,Non-small-cell lung cancer,[ICD-11: 2C25]
